imagen,clase,confianza,x1,y1,x2,y2,ancho,alto
palma_muestra_000.jpg,1,0.9421,906.79,463.45,1001.86,559.51,95.07,96.06
palma_muestra_000.jpg,1,0.9337,755.17,367.24,854.18,466.7,99.01,99.47
palma_muestra_000.jpg,1,0.9332,335.28,786.46,437.92,888.97,102.64,102.5
palma_muestra_000.jpg,1,0.9275,749.02,281.29,846.94,379.67,97.93,98.38
palma_muestra_000.jpg,1,0.9262,107.36,830.29,206.63,930.71,99.26,100.41
palma_muestra_000.jpg,1,0.9242,339.38,695.14,438.36,794.24,98.98,99.1
palma_muestra_000.jpg,1,0.9221,185.89,784.42,281.83,880.39,95.94,95.97
palma_muestra_000.jpg,1,0.9199,426.63,746.79,513.96,833.8,87.32,87.01
palma_muestra_000.jpg,1,0.9196,757.8,193.13,846.38,281.8,88.58,88.68
palma_muestra_000.jpg,1,0.9126,420.16,663.95,510.17,755.09,90.01,91.14
palma_muestra_000.jpg,1,0.9118,748.22,633.86,855.93,742.33,107.71,108.48
palma_muestra_000.jpg,1,0.9117,105.93,646.52,206.01,747.17,100.08,100.65
palma_muestra_000.jpg,1,0.9117,750.02,98.6,846.61,195.19,96.59,96.59
palma_muestra_000.jpg,1,0.9115,188.0,610.95,278.71,702.25,90.71,91.3
palma_muestra_000.jpg,1,0.9112,98.95,737.8,206.4,844.62,107.45,106.82
palma_muestra_000.jpg,1,0.909,824.94,150.26,921.64,247.54,96.7,97.29
palma_muestra_000.jpg,1,0.908,260.36,655.13,357.33,751.35,96.97,96.22
palma_muestra_000.jpg,1,0.9049,502.75,49.63,611.86,158.46,109.11,108.83
palma_muestra_000.jpg,1,0.9031,496.13,788.86,598.12,890.54,101.99,101.68
palma_muestra_000.jpg,1,0.9008,421.43,829.24,517.49,926.62,96.06,97.38
palma_muestra_000.jpg,1,0.8995,20.26,593.5,127.35,701.27,107.09,107.77
palma_muestra_000.jpg,1,0.8988,188.6,876.55,289.19,976.29,100.59,99.75
palma_muestra_000.jpg,1,0.8987,340.01,866.48,443.07,969.44,103.06,102.96
palma_muestra_000.jpg,1,0.8986,262.03,828.05,363.81,930.06,101.78,102.01
palma_muestra_000.jpg,1,0.8961,175.63,504.82,278.69,608.79,103.07,103.97
palma_muestra_000.jpg,1,0.8912,665.99,139.28,770.37,242.03,104.38,102.75
palma_muestra_000.jpg,1,0.8895,191.27,696.98,283.93,790.54,92.65,93.55
palma_muestra_000.jpg,1,0.8878,903.65,368.18,1006.91,472.47,103.26,104.29
palma_muestra_000.jpg,1,0.8876,260.72,551.75,368.26,657.05,107.54,105.3
palma_muestra_000.jpg,1,0.8874,108.25,565.06,201.95,656.89,93.7,91.83
palma_muestra_000.jpg,1,0.8834,909.44,285.0,1005.06,379.26,95.63,94.27
palma_muestra_000.jpg,1,0.883,902.41,639.89,1006.74,745.85,104.33,105.97
palma_muestra_000.jpg,1,0.8817,680.26,236.99,772.75,329.83,92.49,92.83
palma_muestra_000.jpg,1,0.8774,758.12,827.34,865.29,934.78,107.17,107.43
palma_muestra_000.jpg,1,0.8735,826.43,55.59,926.1,155.82,99.66,100.23
palma_muestra_000.jpg,1,0.8712,906.59,4.4,1005.27,103.46,98.68,99.05
palma_muestra_000.jpg,1,0.8644,667.54,761.76,780.9,877.63,113.36,115.87
palma_muestra_000.jpg,1,0.8641,905.8,191.13,1007.12,291.46,101.31,100.33
palma_muestra_000.jpg,1,0.862,653.84,868.12,764.81,977.99,110.97,109.87
palma_muestra_000.jpg,1,0.8549,26.48,512.74,125.24,611.42,98.75,98.68
palma_muestra_000.jpg,1,0.8504,596.96,191.02,693.76,288.61,96.8,97.59
palma_muestra_000.jpg,1,0.8473,260.68,923.1,363.04,1023.07,102.35,99.96
palma_muestra_000.jpg,1,0.8453,261.94,745.35,354.05,838.87,92.11,93.52
palma_muestra_000.jpg,1,0.8439,29.45,785.51,125.77,882.28,96.32,96.77
palma_muestra_000.jpg,1,0.8417,684.76,607.41,780.24,706.53,95.48,99.12
palma_muestra_000.jpg,1,0.8405,346.57,605.42,438.09,696.72,91.52,91.31
palma_muestra_000.jpg,1,0.8379,829.13,691.17,927.73,790.33,98.6,99.16
palma_muestra_000.jpg,1,0.8361,826.16,242.67,925.95,343.74,99.79,101.07
palma_muestra_000.jpg,1,0.8361,28.88,427.17,125.49,524.63,96.62,97.47
palma_muestra_000.jpg,1,0.8281,107.89,920.38,205.94,1020.04,98.05,99.66
palma_muestra_000.jpg,1,0.828,894.21,549.47,1003.42,660.95,109.21,111.47
palma_muestra_000.jpg,1,0.8264,575.77,918.61,675.04,1018.2,99.27,99.59
palma_muestra_000.jpg,1,0.8241,668.83,50.54,767.78,147.94,98.95,97.4
palma_muestra_000.jpg,1,0.818,760.33,546.8,863.83,651.62,103.49,104.81
palma_muestra_000.jpg,1,0.8163,32.85,696.95,124.52,788.29,91.67,91.34
palma_muestra_000.jpg,1,0.8108,572.43,833.86,671.4,934.38,98.97,100.52
palma_muestra_000.jpg,1,0.8106,749.67,17.19,843.42,111.54,93.76,94.34
palma_muestra_000.jpg,1,0.8078,29.13,880.89,126.95,977.7,97.83,96.81
palma_muestra_000.jpg,1,0.7965,104.32,464.37,208.12,568.17,103.79,103.81
palma_muestra_000.jpg,1,0.7801,908.18,93.22,1011.15,195.63,102.96,102.41
palma_muestra_000.jpg,1,0.7673,501.98,895.41,578.77,973.66,76.78,78.25
palma_muestra_000.jpg,1,0.7192,636.66,826.97,696.96,888.14,60.3,61.17
palma_muestra_000.jpg,1,0.7051,738.58,916.7,854.69,1023.9,116.11,107.2
palma_muestra_000.jpg,1,0.7015,839.89,868.24,943.81,972.8,103.92,104.56
palma_muestra_000.jpg,1,0.6774,588.29,712.24,713.58,837.85,125.28,125.61
palma_muestra_000.jpg,1,0.6741,425.35,925.29,518.23,1018.57,92.88,93.29
palma_muestra_000.jpg,1,0.5819,826.26,409.92,931.15,518.53,104.9,108.61
palma_muestra_000.jpg,1,0.5791,433.33,9.0,527.61,103.39,94.28,94.4
palma_muestra_000.jpg,1,0.5535,598.26,13.22,690.45,102.65,92.18,89.44
palma_muestra_000.jpg,1,0.5436,984.85,788.5,1024.0,910.84,39.15,122.35
palma_muestra_000.jpg,1,0.4771,830.27,961.03,936.5,1024.0,106.22,62.97
palma_muestra_000.jpg,1,0.4615,25.46,964.32,129.02,1024.0,103.56,59.68
palma_muestra_000.jpg,1,0.4601,820.89,0.01,925.27,61.08,104.38,61.07
palma_muestra_000.jpg,1,0.4489,908.57,736.54,1017.58,844.39,109.01,107.85
palma_muestra_000.jpg,1,0.44,0.04,718.69,51.06,848.1,51.02,129.41
palma_muestra_000.jpg,1,0.4328,914.98,913.38,1007.92,1005.77,92.93,92.39
palma_muestra_000.jpg,1,0.4227,0.11,369.36,57.52,485.06,57.41,115.7
palma_muestra_000.jpg,1,0.3968,344.37,962.49,441.27,1024.0,96.91,61.51
palma_muestra_000.jpg,1,0.3897,986.85,321.88,1024.0,414.91,37.15,93.03
palma_muestra_000.jpg,1,0.352,505.77,0.0,610.65,68.65,104.88,68.65
palma_muestra_000.jpg,1,0.348,652.66,964.71,756.66,1024.0,104.0,59.29
palma_muestra_000.jpg,1,0.3251,673.36,0.0,768.94,62.67,95.59,62.67
palma_muestra_000.jpg,1,0.3017,987.75,690.44,1024.0,793.76,36.25,103.32
palma_muestra_000.jpg,1,0.3009,984.18,230.1,1024.0,337.74,39.82,107.64
palma_muestra_000.jpg,1,0.2898,493.7,965.44,592.65,1024.0,98.94,58.56
palma_muestra_000.jpg,1,0.2666,0.0,918.9,46.11,1024.0,46.1,105.1
palma_muestra_000.jpg,1,0.2646,979.85,962.82,1023.94,1023.87,44.09,61.05
palma_muestra_001.jpg,1,0.9273,819.71,617.04,922.64,723.79,102.93,106.75
palma_muestra_001.jpg,1,0.9248,748.3,100.88,847.86,201.39,99.56,100.52
palma_muestra_001.jpg,1,0.8944,828.38,55.69,926.29,154.62,97.91,98.93
palma_muestra_001.jpg,1,0.8863,835.96,143.14,924.69,232.29,88.73,89.15
palma_muestra_001.jpg,1,0.8827,758.69,278.57,847.97,368.63,89.28,90.06
palma_muestra_001.jpg,1,0.8654,826.63,401.51,931.28,508.85,104.65,107.34
palma_muestra_001.jpg,1,0.8569,817.22,517.33,927.33,629.77,110.1,112.44
palma_muestra_001.jpg,1,0.8542,834.82,231.13,930.55,327.45,95.73,96.32
palma_muestra_001.jpg,1,0.8465,759.27,192.14,847.68,281.91,88.41,89.76
palma_muestra_001.jpg,1,0.7757,911.34,361.24,1010.93,461.83,99.58,100.59
palma_muestra_001.jpg,1,0.7646,835.68,323.12,926.31,415.0,90.63,91.88
palma_muestra_001.jpg,1,0.7332,743.74,366.24,856.66,479.02,112.91,112.78
palma_muestra_001.jpg,1,0.6449,909.85,109.7,1008.73,210.71,98.88,101.01
palma_muestra_001.jpg,1,0.6394,669.96,245.28,766.42,342.9,96.46,97.61
palma_muestra_001.jpg,1,0.597,905.43,546.34,1012.77,653.77,107.34,107.43
palma_muestra_001.jpg,1,0.572,905.47,13.18,1011.56,119.03,106.09,105.85
palma_muestra_001.jpg,1,0.5316,975.76,851.54,1024.0,964.21,48.24,112.67
palma_muestra_001.jpg,1,0.4342,670.66,336.25,762.53,430.51,91.87,94.27
palma_muestra_001.jpg,1,0.3406,908.99,460.35,1007.64,560.21,98.65,99.86
palma_muestra_001.jpg,1,0.3138,916.53,277.25,1005.3,366.68,88.77,89.44
palma_muestra_001.jpg,1,0.2795,910.95,200.69,987.39,277.69,76.44,76.99
palma_muestra_002.jpg,1,0.8909,21.93,106.76,115.79,203.42,93.86,96.66
palma_muestra_002.jpg,1,0.8825,252.46,228.39,347.4,324.88,94.94,96.49
palma_muestra_002.jpg,1,0.8784,108.57,237.35,203.87,333.19,95.29,95.84
palma_muestra_002.jpg,1,0.8763,253.98,316.23,359.83,424.28,105.85,108.05
palma_muestra_002.jpg,1,0.8729,103.33,148.2,199.13,244.62,95.8,96.41
palma_muestra_002.jpg,1,0.8724,94.96,60.35,193.2,158.59,98.24,98.25
palma_muestra_002.jpg,1,0.8509,185.53,189.15,277.2,280.7,91.67,91.55
palma_muestra_002.jpg,1,0.8355,174.42,100.34,269.01,197.34,94.59,97.0
palma_muestra_002.jpg,1,0.8238,352.19,815.54,439.85,904.31,87.67,88.77
palma_muestra_002.jpg,1,0.822,179.1,278.85,275.13,373.01,96.02,94.16
palma_muestra_002.jpg,1,0.8192,344.78,897.05,449.09,1002.58,104.31,105.52
palma_muestra_002.jpg,1,0.817,330.99,274.39,435.39,379.79,104.4,105.4
palma_muestra_002.jpg,1,0.8168,256.67,143.72,349.85,238.61,93.17,94.89
palma_muestra_002.jpg,1,0.8154,327.94,187.75,427.12,288.79,99.18,101.04
palma_muestra_002.jpg,1,0.8011,16.0,11.77,120.32,115.35,104.32,103.58
palma_muestra_002.jpg,1,0.7811,422.15,854.23,519.38,952.42,97.23,98.19
palma_muestra_002.jpg,1,0.7792,196.51,729.85,291.07,823.48,94.56,93.63
palma_muestra_002.jpg,1,0.7747,24.04,190.48,123.13,289.99,99.09,99.5
palma_muestra_002.jpg,1,0.7522,879.79,572.43,983.98,676.09,104.2,103.66
palma_muestra_002.jpg,1,0.7452,948.22,446.19,1024.0,553.02,75.78,106.83
palma_muestra_002.jpg,1,0.7277,325.9,94.22,432.08,202.08,106.18,107.85
palma_muestra_002.jpg,1,0.7134,172.64,7.35,277.33,112.65,104.69,105.3
palma_muestra_002.jpg,1,0.7102,120.17,770.45,218.66,870.12,98.49,99.66
palma_muestra_002.jpg,1,0.7034,813.53,624.59,912.26,724.36,98.73,99.77
palma_muestra_002.jpg,1,0.7007,495.21,894.74,605.62,1006.91,110.41,112.18
palma_muestra_002.jpg,1,0.6999,339.6,724.45,442.27,825.76,102.68,101.31
palma_muestra_002.jpg,1,0.6867,267.23,769.62,364.53,871.07,97.3,101.45
palma_muestra_002.jpg,1,0.6651,887.16,668.29,983.61,764.68,96.44,96.39
palma_muestra_002.jpg,1,0.6488,191.52,817.21,285.56,912.2,94.04,94.99
palma_muestra_002.jpg,1,0.6222,31.93,725.77,141.36,834.1,109.43,108.34
palma_muestra_002.jpg,1,0.6013,262.11,674.38,370.54,787.5,108.42,113.12
palma_muestra_002.jpg,1,0.5881,424.23,766.77,524.18,866.59,99.96,99.82
palma_muestra_002.jpg,1,0.5775,270.11,859.23,367.66,956.42,97.55,97.19
palma_muestra_002.jpg,1,0.5171,431.35,946.68,516.58,1024.0,85.23,77.32
palma_muestra_002.jpg,1,0.5157,953.76,529.33,1024.0,638.1,70.24,108.77
palma_muestra_002.jpg,1,0.504,95.82,0.0,199.81,64.55,104.0,64.55
palma_muestra_002.jpg,1,0.4885,117.65,682.4,216.07,782.14,98.42,99.74
palma_muestra_002.jpg,1,0.4671,503.69,813.34,596.85,909.36,93.16,96.02
palma_muestra_002.jpg,1,0.402,187.7,636.28,291.28,741.02,103.58,104.75
palma_muestra_002.jpg,1,0.3573,251.54,54.87,344.22,144.12,92.67,89.25
palma_muestra_002.jpg,1,0.3164,401.48,140.81,486.91,225.97,85.42,85.16
palma_muestra_002.jpg,1,0.2959,959.85,630.81,1023.96,719.42,64.1,88.61
palma_muestra_002.jpg,1,0.2885,313.64,2.38,421.34,108.99,107.7,106.61
palma_muestra_002.jpg,1,0.269,563.97,759.2,670.61,867.28,106.63,108.08
palma_muestra_002.jpg,1,0.2596,956.39,712.7,1024.0,822.06,67.61,109.36
palma_muestra_003.jpg,1,0.9485,228.08,567.74,322.6,662.89,94.52,95.15
palma_muestra_003.jpg,1,0.9434,387.65,562.86,478.58,654.96,90.94,92.1
palma_muestra_003.jpg,1,0.9432,147.0,429.08,245.01,527.42,98.01,98.34
palma_muestra_003.jpg,1,0.9432,69.05,744.51,162.14,837.46,93.09,92.95
palma_muestra_003.jpg,1,0.9426,461.65,785.19,556.28,879.36,94.63,94.17
palma_muestra_003.jpg,1,0.9413,223.28,647.29,320.96,745.17,97.67,97.88
palma_muestra_003.jpg,1,0.94,151.54,521.19,242.6,612.65,91.06,91.46
palma_muestra_003.jpg,1,0.9397,144.45,696.28,245.59,797.6,101.14,101.32
palma_muestra_003.jpg,1,0.9395,611.15,602.52,712.73,705.4,101.58,102.87
palma_muestra_003.jpg,1,0.937,844.96,290.43,936.79,383.34,91.83,92.91
palma_muestra_003.jpg,1,0.9362,687.33,566.56,782.83,661.35,95.5,94.8
palma_muestra_003.jpg,1,0.9338,308.89,520.26,406.44,618.44,97.55,98.19
palma_muestra_003.jpg,1,0.9333,70.35,204.09,168.24,302.68,97.89,98.59
palma_muestra_003.jpg,1,0.9325,307.19,429.2,408.36,531.08,101.18,101.88
palma_muestra_003.jpg,1,0.9322,147.45,601.96,244.43,699.62,96.99,97.67
palma_muestra_003.jpg,1,0.9317,845.23,744.36,940.02,838.95,94.79,94.59
palma_muestra_003.jpg,1,0.9308,760.99,518.16,861.29,618.22,100.3,100.06
palma_muestra_003.jpg,1,0.9304,221.14,289.91,321.95,391.04,100.82,101.13
palma_muestra_003.jpg,1,0.9291,223.98,378.75,318.93,474.12,94.95,95.37
palma_muestra_003.jpg,1,0.929,71.08,648.43,167.51,744.87,96.43,96.44
palma_muestra_003.jpg,1,0.9286,386.26,735.44,482.5,832.05,96.24,96.61
palma_muestra_003.jpg,1,0.9284,224.38,473.39,324.42,573.73,100.04,100.33
palma_muestra_003.jpg,1,0.9283,846.36,560.09,940.12,654.65,93.76,94.56
palma_muestra_003.jpg,1,0.928,150.18,790.04,246.53,886.54,96.35,96.51
palma_muestra_003.jpg,1,0.9272,683.4,385.15,787.8,488.88,104.39,103.74
palma_muestra_003.jpg,1,0.9272,70.17,472.14,166.4,569.03,96.23,96.9
palma_muestra_003.jpg,1,0.927,227.16,748.81,317.75,839.83,90.59,91.02
palma_muestra_003.jpg,1,0.9265,75.58,831.9,167.67,924.83,92.09,92.93
palma_muestra_003.jpg,1,0.9264,299.76,693.98,400.59,795.77,100.82,101.79
palma_muestra_003.jpg,1,0.9263,684.66,114.11,782.96,212.84,98.3,98.74
palma_muestra_003.jpg,1,0.9263,842.46,652.92,938.76,749.26,96.3,96.33
palma_muestra_003.jpg,1,0.9261,525.84,464.98,631.77,573.19,105.92,108.21
palma_muestra_003.jpg,1,0.9258,535.14,200.81,631.53,298.29,96.4,97.48
palma_muestra_003.jpg,1,0.9256,769.37,876.68,866.5,975.19,97.13,98.51
palma_muestra_003.jpg,1,0.9255,74.41,565.2,162.18,652.55,87.76,87.35
palma_muestra_003.jpg,1,0.9251,759.63,598.89,863.8,704.09,104.17,105.21
palma_muestra_003.jpg,1,0.9248,464.6,880.45,557.85,973.75,93.26,93.3
palma_muestra_003.jpg,1,0.9248,147.18,244.08,243.51,338.94,96.33,94.86
palma_muestra_003.jpg,1,0.9243,609.88,157.84,703.18,250.92,93.29,93.08
palma_muestra_003.jpg,1,0.924,610.35,427.4,709.7,526.93,99.36,99.53
palma_muestra_003.jpg,1,0.9238,535.87,830.82,637.98,933.33,102.11,102.5
palma_muestra_003.jpg,1,0.923,310.53,608.0,403.87,700.83,93.33,92.83
palma_muestra_003.jpg,1,0.9227,295.14,868.03,399.25,973.1,104.11,105.07
palma_muestra_003.jpg,1,0.9224,608.6,242.76,705.63,340.88,97.04,98.11
